id,nome,tipo,nivel_magia,custo_mana,prereq,execucao,alcance,alvo,duracao,categoria,natureza,descricao
868,Tornado de Vento Elite,Magias Iniciais,4,6,,Padrão,Médio,Criatura,Instantânea,Ofensiva,Vento,"O conjurador realiza um ataque mágico contra uma criatura. Em caso de sucesso, a força do impacto a arremessa para trás até 12 metros, causando 3d6 de dano de Vento. Caso a criatura colida com algum obstáculo durante o deslocamento, ela fica Atordoada por 1 rodada."
869,Tornado de Vento Maior,Magias Iniciais,5,8,,Padrão,Médio,Criatura,Instantânea,Ofensiva,Vento,"O conjurador realiza um ataque mágico contra uma criatura. Em caso de sucesso, a força do impacto a arremessa para trás até 15 metros, causando 4d6 de dano de Vento. Caso a criatura colida com algum obstáculo durante o deslocamento, ela fica Atordoada por 1 rodada."
870,Tornado de Vento Avançado,Magias Iniciais,6,10,,Padrão,Médio,Criatura,Instantânea,Ofensiva,Vento,"O conjurador realiza um ataque mágico contra uma criatura. Em caso de sucesso, a força do impacto a arremessa para trás até 18 metros, causando 5d6 de dano de Vento. Caso a criatura colida com algum obstáculo durante o deslocamento, ela fica Atordoada por 1 rodada."
871,Abismo Aquático Menor,Magias Antigas,3,4,,Completa,Médio,Local,Sustentada,Controle,Água,"O conjurador cria uma esfera aquática com 9 metros de área, aprisionando todas as criaturas dentro de uma gigantesca bolha de água. Criaturas presas devem realizar uma salvaguarda de Tenacidade para escapar da bolha. Em falha, sofrem 1d10 de dano de Água ao início de cada turno enquanto permanecerem presas. Criaturas que não precisam respirar sofrem apenas metade do dano devido à intensa pressão da água. Em sucesso, a criatura consegue escapar da bolha."
872,Conjuração Dupla das Marés Menor,Magias Antigas,3,4,,Padrão,Curto,1 criatura,Instantânea,Ofensiva,Água,"O conjurador realiza um ataque mágico contra uma criatura. Se o ataque for bem-sucedido, o alvo sofre 2d8 de dano mágico de Água. Em seguida, escolha uma criatura aliada em alcance curto. Ela recupera uma quantidade de Vida igual ao dano causado pela magia. A cura somente ocorre caso a magia cause dano ao alvo."
873,Cura Pelas Águas Menor,Magias Antigas,3,4,,Padrão,Curto,Criatura,Instantânea,Utilidade,Água,"O conjurador cria um círculo mágico que invoca um globo de água pura e revitalizante. A água envolve a criatura alvo, restaurando 1d8 + Intelecto do conjurador em Vida. Caso o alvo seja uma criatura do Elemento Negativo ou um Morto-Vivo, o conjurador deve realizar um ataque mágico. Em caso de acerto, a magia causa o mesmo valor como dano de Água ao invés de cura."
874,Maré Reversa Menor,Magias Antigas,3,4,,Reação,Curto,Criatura,Instantânea,Defensiva,Água,"Ao utilizar a reação, o conjurador protege uma criatura alvo quando ela é atingida por um ataque mágico dos elementos Fogo ou Terra, invertendo parte da energia recebida em uma onda de água protetora. Reduz o dano recebido em 2d8 e concede Resistência 5 a Fogo e Terra até o início do próximo turno."
875,Tsunami Menor,Magias Antigas,3,4,,Completa,Longo,Área,Instantânea,Ofensiva,Água,"O conjurador invoca uma onda colossal que varre tudo à sua frente, arrastando criaturas e destruindo estruturas frágeis. A onda avança em uma linha de 18 metros de comprimento por 6 metros de largura. Criaturas na área devem superar uma salvaguarda de Tenacidade ou sofrer 4d8 de dano de Água, serem arremessadas 9 metros para trás. O local afetado se torna terreno difícil e coberto por lamaçal. Criaturas aquáticas sofrem apenas metade do dano e ignoram os efeitos do terreno difícil."
876,Eilian Môr Gwyn Névoas Soniferas,Magias de Grimório,3,4,Idioma Silvestre,Padrão,Longo,Local,3 Rodadas,Utilidade,Água,"O conjurador invoca uma névoa densa e pesada em uma área de 18 metros, preenchida por ilusões de sons distantes, aromas suaves e sussurros etéreos que confundem os sentidos. Criaturas dentro da névoa devem realizar uma salvaguarda de Vontade. Em falha, ficam na condição Adormecido enquanto permanecerem sob o efeito da magia. Em sucesso, permanecem despertas, mas sofrem desvantagem em testes de Percepção e Pontaria até o fim do efeito."
877,Gwydion Dŵr Magia das Águas Vivas,Magias de Grimório,3,4,Idioma Silvestre,Padrão,Toque,Criatura,Instantânea,Defensiva,Água,"""Dŵr byw! Que as águas da floresta tragam vida e renovação a este ser da natureza!"" O conjurador convoca as águas vivas que correm pelas veias da terra, direcionando-as para curar e nutrir. O alvo recupera 3d6+4 pontos de vida, e qualquer veneno de origem natural é neutralizado automaticamente. Se usada em combate, a água também pode formar uma muralha líquida que concede cobertura parcial (+2 de Defesa) ao alvo até o início do próximo turno do conjurador."
878,Teleporte Menor,Magias Antigas,3,4,,Reação,Curto,Conjurador,Instantânea,Utilidade,Arcano,"O conjurador dobra o espaço ao seu redor e desaparece em um lampejo arcano, reaparecendo instantaneamente em outro ponto visível. O conjurador pode se teleportar para um local desocupado em até 9 metros. Este movimento não provoca reações de oportunidade."
879,Aerinë Tintallë Dança das Estrelas Cadentes,Magias de Grimório,3,4,Idioma Élfico,Padrão,Médio,Criatura,Instantânea,Ofensiva,Arcano,"""Que as estrelas caiam sobre aquele que ousa se opor à harmonia do cosmos."" O conjurador realiza um ataque mágico enquanto fragmentos de luz estelar convergem sobre o alvo em rajadas de raios prateados que perfuram defesas mágicas. Em acerto, a magia causa 2d8 + 4 de dano Arcano. Os estilhaços de luz permanecem vibrando sobre as defesas do alvo, desestabilizando sua energia mágica e impondo penalidade em salvaguardas igual ao Intelecto do conjurador até o início do próximo turno do conjurador."
880,Benedicta Lux Luz Abençoada,Magias de Grimório,3,4,Idioma Celestial,Padrão,Médio,Criatura,3 Rodadas,Invocação,Arcano,"“Lux Benedicta! Que a glória dos planos superiores julgue esta criatura pela verdade de sua alma!” O conjurador cria uma luz arcana sobre a criatura alvo e invoca o espírito de um celestial ancestral para julgá-la diante das verdades superiores. Enquanto o efeito persistir, o conjurador pode realizar perguntas diretamente à criatura e recebe +10 em testes de Intelecto ou Presença para obter respostas, discernir mentiras ou extrair informações ocultas. Caso o alvo seja um Morto-Vivo ou uma criatura do Elemento Negativo, o bônus aumenta para +20, pois a luz celestial queima sua essência e enfraquece sua capacidade de ocultar a verdade."
881,Elessë Calma Escudo de Graça Imortal,Magias de Grimório,3,4,Idioma Élfico,Reação,Pessoal,Pessoal,3 rodadas,Defensiva,Arcano,"“A graça dos imortais seja meu escudo; que nenhum golpe atravesse a paz que carrego.” Como um reflexo instintivo, o conjurador ergue um campo protetor de energia élfica, tecido com padrões luminosos de folhas e estrelas ancestrais. O escudo concede +3 em Defesa Base e Resistência 15 contra qualquer dano mágico. A magia pode ser ativada como reação ao receber um ataque. Caso o conjurador ainda sofra dano após a redução, regenera 1d6 de Mana."
882,Sanctum Scutum Escudo Sagrado,Magias de Grimório,3,4,Idioma Celestial,Padrão,Curto,Criatura,3 rodadas,Invocação,Arcano,"""Scutum sanctum! Que a proteção dos anjos envolva este ser e o guarde do mal!"" O conjurador invoca a alma de um celestial ancestral, manifestando um Guardião Sagrado diante de si. A presença do celestial emana autoridade divina irresistível, provocando criaturas ao redor do conjurador. Criaturas na área devem realizar uma salvaguarda de Vontade. Criaturas do Elemento Negativo e Mortos-Vivos sofrem CD +10 nesta salvaguarda. Em falha, as criaturas são compelidas a direcionar seus ataques e hostilidade exclusivamente ao celestial enquanto o efeito persistir. No início de cada turno, criaturas afetadas devem repetir a salvaguarda para tentar resistir ao efeito. O Guardião Celestial é indestrutível, não sofre dano, condições ou qualquer outro efeito, existindo apenas para atrair a agressividade das criaturas afetadas até o término da magia."
883,Scutum Manae Escudo de Mana,Magias de Grimório,3,4,Idioma Arcano,Reação,Pessoal,Pessoal,3 Rodadas,Defensiva,Arcano,"""Mana scutum! Que minha própria força arcana se torne barreira entre mim e o perigo!"" O conjurador transforma sua própria reserva de Mana em um escudo protetor arcano. O escudo possui 30 pontos de absorção; todo dano recebido, independentemente do tipo, é reduzido primeiro dos pontos do escudo antes de afetar o conjurador. Quando os pontos de absorção chegam a 0, o escudo se rompe e a magia é encerrada. O conjurador pode gastar adicionalmente 2 ponto de Mana para aumentar o escudo em +20 pontos de absorção, desde que possua Mana suficiente para sustentar a amplificação. Esta magia não é acumulativa; uma nova conjuração reinicia completamente os pontos do escudo anterior."
884,Tempus Fractum Tempo Fraturado,Magias de Grimório,3,4,Idioma Arcano,Reação,Curto,Criatura,Instantânea,Utilidade,Arcano,"""Fractum tempus! Que o fio do tempo se parta e te force a viver este instante duas vezes!""  O conjurador distorce o fluxo do destino e obriga a criatura alvo a repetir sua última rolagem, abandonando completamente o resultado anterior. O alvo deve obrigatoriamente utilizar o novo resultado obtido, mesmo que seja pior."
885,Tenebris Vinculum Correntes das Trevas,Magias de Grimório,3,4,Idioma Infernal,Padrão,Médio,Criatura,Sustentada,Controle,Arcano,"""Vinculum! Que as correntes do abismo te prendam e dobrem sua vontade à minha!"" O conjurador realiza um ataque mágico, fazendo correntes de sombra infernal emergirem do chão e se enrolarem ao redor do alvo. Em caso de acerto, o alvo fica Imobilizado, não podendo se mover, e sofre uma penalidade de –5 em ataques e testes de perícia enquanto permanecer preso pelas correntes. Ao final de cada rodada, a criatura pode tentar se libertar realizando um teste de Atletismo contra a CD do ataque mágico do conjurador."
886,Tündér Bűvölet Encanto Feérico,Magias de Grimório,3,4,Idioma Feérico,Padrão,Curto,Criatura,3 Rodadas,Controle,Arcano,"""Bűvölet! Que o encantamento das fadas toque sua mente e você veja apenas maravilha onde há batalha!"" O conjurador lança um pó feérico cintilante sobre o alvo. A criatura deve realizar um teste de Vontade contra a CD do conjurador. Em caso de falha, o alvo fica fascinado por uma ilusão deslumbrante, perdendo suas ações de movimento até o final do efeito da magia. Caso a criatura afetada receba dano, o efeito é interrompido imediatamente."
887,Vortex Arcani Vórtice Arcano,Magias de Grimório,3,4,Idioma Arcano,Padrão,Curto,Local,Instantânea,Utilidade,Arcano,"""Arcanus vortex! Que o abismo entre os planos se abra aqui e devore tudo em seu turbilhão!"" O conjurador cria um subespaço arcano capaz de armazenar uma quantidade de itens igual ao seu Intelecto +1. Apenas itens com tamanho igual ou inferior a 9 metros podem ser guardados nesse espaço extradimensional. Ao conjurar esta magia novamente, o conjurador pode acessar livremente o subespaço para retirar ou armazenar itens."
888,Aura do Patrono,Magias de Pacto,3,4,,Padrão,Curto,Pessoal,3 rodadas,,Caótico,"A presença da entidade vinculada ao pacto envolve o conjurador como uma névoa sobrenatural, alterando sua voz, olhar e postura de maneira perturbadora ou fascinante. Durante a duração, o conjurador recebe +10 em testes de Enganação, Persuasão ou Intimidação, à sua escolha no momento da conjuração. Este efeito não acumula com outras habilidades ou magias semelhantes."
889,Dreno de Vida,Magias de Pacto,3,4,,Padrão,Curto,Criatura,Instantânea,,Caótico,"O conjurador drena parte da essência vital da criatura alvo através do pacto sombrio. Realiza um ataque mágico contra a criatura. Se atingir, causa 2d10 de dano caótico e o conjurador recupera 1d4 de Vida. A criatura deve realizar uma salvaguarda de Tenacidade. Em caso de falha, fica Enfraquecida por 1 rodada."
890,Equipamento do Patrono,Magias de Pacto,3,4,,Padrão,Curto,Pessoal,Instantânea,,Caótico,Conjura um equipamento vinculado ao patrono. O conjurador possui proficiência automática com o equipamento. O item desaparece caso o conjurador fique inconsciente. Apenas o pactuado pode utilizar o equipamento. Cada equipamento concede um benefício poderoso acompanhado de uma penalidade vinculada ao pacto. • O Espelho Dourado — Acessório: Reflexo Dourado +2 na CD das magias. Penalidade: –2 em testes de Presença. • A Dama dos Desejos — Acessório: Joia dos Desejos Magias ofensivas causam +1d6 de dano mágico. Penalidade: Não pode realizar ataques físicos. • Mestre do Banquete — Armadura: Vestes do Banquete +2 de Defesa. Penalidade: Cura mágica recebida reduzida pela metade. • O Ruivo — Arma: Machado do Ruivo Machado mágico que causa 2d8 de dano e concede +2 em ataques. Penalidade: –2 na CD das magias. • O Colecionador — Acessório: Relicário Maldito Escolha: +10 Vida máxima e –5 Mana máxima. +10 Mana máxima e –5 Vida máxima. • O Sonolento — Calçado: Botas da Preguiça Ignora penalidades de Fração de Segundos. Penalidade: –2 de Defesa. • Mil Olhos — Arma: Cajado dos Mil Olhos Escolha até 2 magias. Elas custam –2 Mana. Penalidade: Todas as outras magias custam +2 Mana.
891,Fome das Sombras,Magias de Pacto,3,4,,Reação,Curto,Criatura,Instantânea,,Caótico,"Criaturas feridas atraem entidades famintas do vazio. Sempre que uma criatura dentro do alcance sofrer dano, o conjurador pode consumir sua reação para realizar um ataque mágico contra ela. Se atingir, causa 2d6 de dano caótico adicional. Se a criatura morrer sob este efeito, o conjurador recupera 1d6 de Mana."
892,Maldição das Sombras,Magias de Pacto,3,4,,Reação,Curto,1 Criatura,3 Rodadas,,Caótico,"Sombras vivas se prendem ao alvo, alimentando o conjurador com fragmentos de sua essência. O conjurador recebe vantagem em ataques físicos, mágicos e testes ofensivos contra a criatura amaldiçoada. Caso o alvo morra durante a duração da magia, o conjurador absorve parte de sua energia, recuperando 1d6 de mana."
893,Pequeno Buraco Negro,Magias de Pacto,3,4,,Padrão,Curto,Local,3 rodadas,,Caótico,O conjurador cria uma pequena distorção gravitacional que deforma o espaço ao redor. Cria uma área com raio de 9 metros. Criaturas dentro da área sofrem: deslocamento reduzido pela metade; –2 em rolagens de ataque; –2 em salvaguardas baseadas em Força e Destreza. Os efeitos permanecem enquanto a criatura estiver dentro da área.
894,Servo das Sombras,Magias de Pacto,3,4,,Padrão,Curto,Pessoal,3 rodadas,,Caótico,"O conjurador cria uma criatura sombria disforme que atua como distração e extensão limitada de sua vontade. Ao ser conjurado, o Servo das Sombras provoca todas as criaturas em um raio de 9 metros. Criaturas afetadas devem realizar uma salvaguarda de Vontade; em caso de falha, são obrigadas a atacar o servo até o início do próximo turno do conjurador. O servo não pode atacar, realizar testes complexos ou conjurar magias, servindo apenas para distração, interações simples e ações básicas."
895,Troca de Corações,Magias de Pacto,3,4,,Completo,Curto,Criatura,Instantânea,,Caótico,"O conjurador força uma ligação maldita entre almas, transferindo sofrimento de um corpo para outro. Realiza um ataque mágico contra uma criatura. Caso esteja em desvantagem neste ataque, a desvantagem é ignorada. Se atingir, o conjurador pode transferir todas as condições negativas de uma criatura à escolha dele (incluindo si mesmo) para a criatura alvo."
896,Visitar ao Domínio,Magias de Pacto,3,4,,Completa,Curto,Pessoal e 1 criatura,1 rodada,,Caótico,"O conjurador realiza um ataque mágico contra uma criatura. Se o ataque for bem-sucedido, ambos são imediatamente transportados para o Domínio da entidade vinculada ao pacto. As criaturas permanecem no Domínio por, no mínimo, 1 rodada, sofrendo ou recebendo todos os efeitos e regras especiais impostos por esse local sobrenatural. Ao término da duração, retornam ao espaço original que ocupavam ou para o espaço desocupado mais próximo disponível."
897,Baptismo de Chamas Menor,Magias Antigas,3,4,,Padrão,Curto,Criatura,5 Rodadas,Encantamento,Fogo,"Encanta a criatura alvo com chamas intensas. Até o final do efeito, seus ataques mágicos são amplificados, recebendo +2 nas rolagens de ataque e causando 2d6 de dano adicional de Fogo. Este efeito não é acumulativo com outras magias de amplificação similares."
898,Fênix de Fogo Menor,Magias Antigas,3,4,,Padrão,Médio,Criatura,Instantânea,Invocação,Fogo,"O conjurador invoca 2 pequenas fênix flamejantes que sobrevoam ao seu redor, iluminando uma área de 9 metros cada. As fênix podem se mover livremente em um raio de até 18 metros do conjurador e atacam alvos conforme sua vontade. Cada fênix é considerada uma fonte mágica distinta. Ao atacar, o alvo deve realizar uma salvaguarda de Reflexo. Em falha, sofre 2d8 + Intelecto do conjurador em dano de Fogo. Criaturas eliminadas por este dano são consumidas pelas chamas das fênix, dando origem a uma nova Fênix de Fogo Menor para cada alvo abatido."
899,Pétalas de Chamas Menor,Magias Antigas,3,4,,Padrão,Médio,Local,3 Rodadas,Encantamento,Fogo,"O conjurador cria uma aura de pétalas flamejantes que o envolve constantemente. Ataques corpo a corpo realizados pelo conjurador recebem +2 nas rolagens de ataque. O conjurador recebe resistência ao elemento Fogo, sofrendo apenas metade do dano desse elemento. Ao sofrer dano letal que reduza sua Vida a 0, ficando com 1 de vida, o conjurador deixa para trás uma cópia ilusória formada por pétalas em chamas, que se dissipa em uma explosão de fogo em um raio de 6 metros, causando 2d8 de dano de Fogo às criaturas na área. Habilidade não acumulativa."
900,Raio Solar Menor,Magias Antigas,3,4,,Padrão,Médio,Criatura,Instantânea,Ofensiva,Fogo,"O conjurador manifesta um círculos arcanos do elemento Fogo e dispara um raio solar denso e destrutivo. O conjurador realiza um ataque mágico contra o alvo. Esta magia possui Penetração Mágica. Em acerto, causa 2d8 de dano de Fogo."
901,Vulcão Menor,Magias Antigas,3,4,,Completa,Médio,Local,3 Rodadas,Ofensiva,Fogo,"O conjurador abre uma fissura vulcânica no solo, liberando violentos jatos de magma contra tudo ao redor. Criaturas em um raio de 6 metros devem realizar uma salvaguarda de Reflexo. Em falha, sofrem 4d8 de dano de Fogo. Em sucesso, sofrem apenas metade do dano. O terreno atingido torna-se terreno difícil coberto por magma e rochas incandescentes. Criaturas que atravessarem a área ou iniciarem o turno dentro dela sofrem 2d8 de dano de Fogo."
902,Flagrare Animam Queimar a Alma,Magias de Grimório,3,4,Idioma Infernal,Padrão,Médio,Criatura,3 rodadas,Ofensiva,Fogo,"""Flagrare! Que a chama do Inferno encontre sua alma e a marque como minha."" O conjurador realiza um ataque mágico e, em caso de acerto, amaldiçoa o alvo com chamas infernais que ignoram armaduras e queimam diretamente sua vitalidade. Enquanto estiver amaldiçoado, o alvo sofre 2d8 de dano de Fogo ao início de cada rodada. Além disso, sempre que conjurar uma magia sob este efeito, perde 1d4 pontos de Vida adicionais, pois as chamas se alimentam da energia mágica liberada. Ao final de cada rodada, o alvo pode realizar uma salvaguarda de Vontade para suprimir a maldição e encerrar o efeito."
903,Impus Servitor Diabrete Serviçal,Magias de Grimório,3,4,Idioma Infernal,Padrão,Médio,Local,5 Rodadas,Invocação,Fogo,"“Das brasas do submundo, ergo um servo efêmero cuja morte anuncia o fogo infernal.” O conjurador invoca um pequeno diabrete envolto em brasas infernais para servi-lo temporariamente. O diabrete age no turno do conjurador e pode ser movido até 18 metros por rodada. Ele não pode realizar ataques, mas é capaz de executar pequenas ações, como mover objetos leves, abrir portas, carregar pequenos itens ou interagir com mecanismos simples. Ao sofrer qualquer quantidade de dano, o diabrete explode em chamas infernais, causando 3d10 de dano de Fogo em criaturas em um raio de 6 metros. Após a explosão, o diabrete é destruído."
904,Ziil Garurt Svabol Alento de Fogo Eterno,Magias de Grimório,3,4,Idioma Dracônico,Padrão,Curto,Local,Instantânea,Ofensiva,Fogo,"""Svabol! Que o fogo dos primeiros dragões consuma tudo que se atreve a se opor a mim."" O conjurador pronuncia palavras dracônicas de destruição e libera um cone de chamas ancestrais à sua frente, queimando tudo em uma área de 9 metros. Criaturas na área sofrem 2d10 de dano de Fogo e devem realizar uma salvaguarda de Reflexo contra a CD do conjurador para sofrer apenas metade do dano. As chamas deixam marcas dracônicas incandescentes nas superfícies atingidas, transformando a área em terreno difícil. Criaturas que iniciarem o turno ou atravessarem o terreno afetado sofrem 1d8 de dano de Fogo."
905,Despertar da Pedra Menor,Magias Antigas,3,4,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Terra,"O conjurador desperta a ira da terra sob uma criatura, fazendo rochas afiadas e fragmentos de pedra emergirem violentamente do solo para esmagar o alvo. O conjurador realiza um ataque mágico contra a criatura. Em caso de sucesso, o alvo sofre 2d8 de dano de Terra."
906,Guardião de Pedra Menor,Magias Antigas,3,4,,Completa,Curto,Local,Sustentada,Invocação,Terra,"O conjurador anima um golem de rocha e terra, dando forma a um guardião elemental que permanece protegendo uma posição designada. O guardião ocupa um espaço adjacente ao conjurador, possui 20 Pontos de Vida e Defesa 12. Enquanto estiver ativo, ataca automaticamente criaturas hostis adjacentes uma vez por rodada, utilizando a CD do conjurador. Em caso de falha na resistência, a criatura sofre 2d6 de dano de Terra. O guardião permanece até ser destruído, até o conjurador dissipá-lo."
907,Monólito Vivo Menor,Magias Antigas,3,4,,Padrão,Curto,Local,3 Rodadas,Defensiva,Terra,"O conjurador ergue do solo um imenso monólito de pedra viva, atravessado por veios de energia elemental pulsante. A presença da estrutura fortalece aqueles que lutam ao seu redor, envolvendo aliados em uma aura de proteção mineral. Até o final do efeito, todos os aliados em um raio de 9 metros do monólito recebem +2 em Defesas Básicas e Resistência a dano de Terra. O monólito permanece ativo até ser destruído, até que a conjuração seja interrompida ou até o término da duração da magia."
908,Terremoto Controlado Menor,Magias Antigas,3,4,,Completa,Médio,Área,2 rodadas,Controle,Terra,"O conjurador faz o solo estremecer violentamente, abrindo rachaduras e pilares de pedra sob os pés dos inimigos. Criaturas na área devem realizar uma salvaguarda de Reflexo. Em caso de falha, a criatura sofre 2d8 de dano Terra, cai ao chão e deve gastar uma ação de Movimento ou Padrão para se levantar. Em caso de sucesso, recebe apenas metade do dano e não cai ao chão."
909,Titan de Pedra Menor,Magias Antigas,3,4,,Completa,Curto,Conjurador,Sustentada,Invocação,Terra,"O conjurador molda um pequeno golem de pedra a partir do solo, que obedece às suas ordens e age no mesmo turno do conjurador, imediatamente após a conjuração. O golem possui 15 de Defesa, causa 2d6 de dano físico de Impacto em seus ataques e tem Vida igual a 3 vezes o Intelecto do conjurador. Caso o conjurador fique inconsciente, o golem se desfaz imediatamente. Conjurar esta habilidade novamente enquanto o golem ainda existir restaura completamente sua Vida e reinicia a duração da magia."
910,Gaia Fractura Fissura da Terra Primordial,Magias de Grimório,3,4,Idioma Primordial,Padrão,Médio,Local,3 Rodadas,Controle,Terra,"As primeiras palavras da criação são pronunciadas ao contrário — onde antes existia solo, agora resta apenas vazio. O conjurador entoa sílabas proibidas e o terreno se rompe violentamente, abrindo uma fissura de até 9 metros de comprimento e 1,5 metro de largura. Criaturas sobre a fissura devem realizar uma salvaguarda de Reflexo. Em caso de falha, caem em seu interior, sofrendo 3d6 de dano de Impacto e ficando Presas. Criaturas presas devem gastar uma ação padrão e realizar um teste de Atletismo contra a CD do conjurador para conseguir sair da fissura. Em caso de sucesso, conseguem escapar para um espaço adjacente. A fissura permanece aberta durante toda a duração da magia."
911,Apocalipse Elétrico Menor,Magias Antigas,3,4,,Completa,Longo,Área,Instantânea,Ofensiva,Trovão,"O conjurador invoca uma tempestade de relâmpagos que desce indiscriminadamente sobre a área, aterrorizando e destruindo tudo sob os céus enfurecidos. Em uma área de 9 metros, todas as criaturas inimigas devem realizar uma salvaguarda de Reflexo. Em caso de falha, sofrem 4d10 de dano de Trovão. Em caso de sucesso, recebem apenas metade do dano."
912,Chamado do Trovão Menor,Magias Antigas,3,4,,Padrão,Longo,Criatura,Instantânea,Ofensiva,Trovão,"O conjurador chama um raio dos céus que desce em velocidade impossível sobre o alvo designado. O conjurador realiza um ataque mágico. Em caso de sucesso, o alvo sofre 3d10 de dano de Trovão. Em um acerto crítico, o alvo fica Paralisado por 1 rodada."
913,Correntes do Trovão Menor,Magias Antigas,3,4,,Padrão,Curto,Conjurador,3 rodadas,Invocação,Trovão,"O conjurador invoca duas correntes envoltas em eletricidade pulsante, uma em cada mão, capazes de atingir inimigos à distância com velocidade devastadora. Enquanto a magia estiver ativa, o conjurador pode realizar ataques físicos utilizando Destreza com alcance de até 9 metros. O conjurador pode realizar dois ataques por turno com as correntes. Em caso de sucesso, cada ataque causa 2d8 de dano de Trovão. Em acertos críticos, o alvo fica Paralisado por 1 rodada. Além disso, o conjurador pode envolver uma criatura atingida com uma das correntes elétricas. Enquanto estiver presa pela corrente, a criatura deve realizar uma salvaguarda de Atletismo contra a CD do conjurador no início de cada turno. Em caso de falha, permanece Paralisada e sofre novamente o mesmo dano do ataque a cada rodada."
914,Domínio Trovejante Menor,Magias Antigas,3,4,,Padrão,Curto,Conjurador,3 Rodadas,Defensiva,Trovão,"O conjurador cria uma zona de eletricidade pulsante ao seu redor, onde relâmpagos estalam constantemente e tornam qualquer aproximação extremamente perigosa. Em uma área de 6 metros ao redor do conjurador, criaturas hostis que entrarem na área ou realizarem ataques contra o conjurador sofrem Desvantagem em seus ataques até o fim do turno."
915,Proteção dos Relâmpagos Menor,Magias Antigas,3,4,,Padrão,Curto,Criatura,3 Rodadas,Defensiva,Trovão,"O conjurador envolve um aliado em um campo elétrico instável que reage automaticamente contra qualquer agressor próximo. Sempre que o alvo for atingido por um ataque corpo a corpo, o atacante sofre 1d8 de dano de Trovão, sem direito a salvaguarda."
916,Thac Nakit Vur Asas do Dragão do Relampago,Magias de Grimório,3,4,Idioma Dracônico,Reação,Pessoal,Conjurador,3 Rodadas,Invocação,Trovão,"""Vur nakit! Que meus toques carreguem a ira do trovão dos dragões tempestários."" O conjurador invoca asas formadas por relâmpagos e correntes elétricas vibrantes, movendo-se com a velocidade de uma tempestade viva. Enquanto as asas estiverem ativas, o conjurador recebe +10 em Iniciativa, uma reação adicional por rodada e aumenta seu deslocamento em +6 metros. Além disso, pode voar até 9 metros durante seus movimentos, sustentado pelas correntes elétricas das asas trovejantes."
917,Asas do Vento Menor,Magias Antigas,3,4,,Padrão,Curto,Criatura,3 rodadas,Defensiva,Vento,O conjurador envolve um aliado em correntes de vento que aumentam drasticamente sua mobilidade e agilidade em combate. O alvo recebe deslocamento de voo de 9 metros e +2 em Defesa contra ataques corpo a corpo.
918,Corrente Uivante Menor,Magias Antigas,3,4,,Padrão,Médio,Área,1 Rodada,Controle,Vento,"O conjurador invoca correntes de vento uivante que desviam projéteis e desestabilizam conjurações dentro da área. Em uma área de 9 metros de raio, ataques com projéteis realizados através ou dentro da área sofrem –2 nas jogadas de ataque. Além disso, conjuradores dentro da área devem realizar uma salvaguarda de Vontade contra a CD do conjurador; em caso de falha, suas magias custam +2 de Mana adicional para serem conjuradas."
919,Ilusão Menor,Magias Antigas,3,4,,Padrão,Médio,Local,Sustentada,Defensiva,Vento,"Você cria uma pequena miragem visual em um ponto dentro do alcance que possa ver. A ilusão pode assumir a forma de uma criatura, objeto, sombra, fenômeno simples ou distorção visual. Além da imagem, a magia pode produzir sons discretos e efeitos visuais mágicos compatíveis com a ilusão criada, como brilhos, fumaça ilusória, faíscas, distorções de luz ou ecos. Esses efeitos são apenas sensoriais e não possuem propriedades físicas ou mágicas reais, não causando dano, condições ou efeitos mecânicos. A ilusão permanece enquanto o conjurador mantiver concentração. Caso uma criatura interaja fisicamente com a miragem, observe inconsistências óbvias ou suspeite da falsidade, ela pode realizar um teste apropriado contra a CD da magia para identificar a ilusão. O mestre pode conceder vantagem ou desvantagem nesse teste dependendo da complexidade da ilusão, da distância, da visibilidade e da familiaridade da criatura com o objeto ou efeito imitado."
920,Vácuo Silencioso Menor,Magias Antigas,3,4,,Padrão,Médio,Local,3 Rodadas,Controle,Vento,"O conjurador remove completamente o ar de uma área, criando um vazio sufocante onde sons desaparecem e palavras jamais conseguem ser pronunciadas. Em uma área de 6 metros, criaturas ficam com a condição Silenciado e devem realizar uma salvaguarda de Tenacidade ao início de cada rodada. Em caso de falha, ficam Paralisadas até o início de seu próximo turno."
921,Vôo Menor,Magias Antigas,3,4,,Movimento,Pessoal,Conjurador,Sustentada,Invocação,Vento,"O conjurador cria asas formadas por correntes de vento condensado, leves e velozes como tempestades celestiais. Enquanto a magia permanecer ativa, recebe deslocamento de voo de 18 metros."
922,Dŵr Drych Hudol Ilusão das Águas Espelhadas,Magias de Grimório,4,6,Idioma Silvestre,Padrão,Longo,Local,5 rodadas,Utilidade,Água,"O conjurador envolve uma área com 24 metros de raio em uma poderosa magia ilusória, fazendo o ambiente parecer distorcido como reflexos sobre águas agitadas. Sons, imagens e formas falsas surgem constantemente, confundindo os sentidos das criaturas presentes. Criaturas dentro da área devem realizar uma salvaguarda de Vontade. Em falha, tornam-se vulneráveis às ilusões criadas pelo conjurador, que pode manifestar sons, imagens, duplicatas de criaturas, objetos e distorções do ambiente para distraí-las e enganá-las. Criaturas que obtiverem sucesso na salvaguarda conseguem perceber parcialmente a ilusão, mas ainda sofrem desvantagem em todas as salvaguardas e testes enquanto permanecerem dentro da área."
